1	5	1.4014	0.0614	-1.0	-1.0	10.2	3.4
2	5	2.0154	0.0842	0.0	-1.0	17.6	3.0
4	5	3.0408	0.1164	-1.0	-1.0	32.0	3.0
8	5	4.9196	0.1688	-1.0	-1.0	62.4	3.4
16	5	7.3482	0.313	20.8094	-1.0	119.6	3.0
32	5	16.866	0.4706	10.3578	-1.0	236.0	4.2
64	5	9.52	0.8438	203.9006	-1.0	472.8	7.4
128	5	18.943	1.4978	238.802	-1.0	938.8	7.8
256	5	22.9608	2.37	256.5188	-1.0	1868.4	18.6
512	5	28.475	4.829	264.6824	-1.0	3652.2	123.0
1024	5	47.0636	10.582	268.2842	-1.0	7143.2	389.8
2048	5	87.9836	24.8324	269.8646	-1.0	13601.6	1444.4
4096	5	155.6504	43.9946	270.4852	-1.0	25166.0	4925.4
8192	5	274.4416	99.0664	270.1112	-1.0	42510.8	17768.2
16384	5	457.011	174.8304	268.8666	-1.0	67209.6	53259.8
32768	5	756.8752	317.6802	266.6018	-1.0	101057.2	139993.0
64018	5	1271.5954	596.8406	264.0616	-1.0	152360.8	318540.0
95268	5	1753.21	895.5992	263.0196	-1.0	196125.4	504575.4
126518	5	2244.4064	1243.7512	262.8942	-1.0	243618.4	686822.6
157768	5	2726.1682	1455.0594	263.3094	-1.0	295771.8	864302.2
189018	5	3160.4444	1692.755	263.2968	-1.0	343294.6	1046474.2
220268	5	3691.0922	1921.2678	263.6694	-1.0	397224.0	1222359.2
251518	5	4176.983	2222.3638	263.183	-1.0	437760.4	1411738.6
282768	5	4612.7734	2727.1724	263.1922	-1.0	473142.8	1606196.0
