+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| did | num_values | iomethod | ioworkers | eic | query_order | master_uncached | master_cached | patched_off_uncached | patched_off_cached | patched_on_uncached | patched_on_cached | patched_off_coeff | patched_on_coeff |
+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| 38  | 1024       | worker   | 12        | 16  | asc         | 19.1464         | 0.2796        | 32.6858              | 0.296              | 11.926              | 0.5166            | 170.715121380521  | 62.2884719842895 |
| 37  | 4096       | io_uring | 12        | 16  | asc         | 25.1186         | 0.7334        | 37.8116              | 0.7654             | 15.0728             | 1.0848            | 150.532274887932  | 60.0065290262992 |
| 28  | 256        | worker   | 12        | 16  | desc        | 10.8156         | 0.257         | 15.506               | 0.2154             | 8.5492              | 0.269             | 143.366988424128  | 79.0450830282185 |
| 28  | 8192       | io_uring | 12        | 16  | desc        | 13.218          | 1.8036        | 18.8106              | 1.6646             | 16.1412             | 2.0786            | 142.310485701316  | 122.115297321834 |
| 42  | 8          | worker   | 12        | 16  | desc        | 0.4534          | 0.025         | 0.645                | 0.0262             | 0.629               | 0.026             | 142.258491398324  | 138.729598588443 |
| 39  | 1024       | io_uring | 12        | 16  | desc        | 22.5384         | 0.3988        | 31.7794              | 0.313              | 12.7634             | 0.4982            | 141.001135839279  | 56.6295744152202 |
| 24  | 4096       | io_uring | 12        | 16  | desc        | 5.4526          | 0.6246        | 7.6266               | 0.5632             | 6.6062              | 0.7202            | 139.870887283131  | 121.156879286946 |
| 37  | 2048       | worker   | 12        | 16  | asc         | 21.94           | 0.4514        | 30.3782              | 0.6344             | 12.2926             | 0.5956            | 138.460346399271  | 56.028258887876  |
| 34  | 8          | worker   | 12        | 16  | desc        | 0.971           | 0.0336        | 1.317                | 0.0372             | 1.1774              | 0.0338            | 135.633367662204  | 121.256436663234 |
| 32  | 1024       | worker   | 12        | 16  | desc        | 45.1454         | 0.6432        | 60.9432              | 0.5972             | 11.4542             | 0.8932            | 134.993155448839  | 25.3717986771631 |
| 37  | 32768      | io_uring | 12        | 16  | asc         | 23.2956         | 3.1546        | 31.2134              | 3.8034             | 25.2412             | 4.7624            | 133.988392657841  | 108.351791754666 |
| 28  | 1024       | worker   | 12        | 16  | desc        | 12.3186         | 0.3188        | 16.4872              | 0.465              | 12.9718             | 0.5544            | 133.839884402448  | 105.302550614518 |
| 7   | 4          | worker   | 12        | 16  | asc         | 0.4478          | 0.0282        | 0.5958               | 0.028              | 0.585               | 0.0272            | 133.050468959357  | 130.638677981242 |
| 42  | 4          | worker   | 12        | 16  | desc        | 0.3602          | 0.0216        | 0.4766               | 0.0218             | 0.4036              | 0.023             | 132.315380344253  | 112.048861743476 |
| 37  | 2048       | io_uring | 12        | 16  | asc         | 24.4964         | 0.4682        | 32.2724              | 0.467              | 17.2328             | 0.7312            | 131.743439852386  | 70.3482960761581 |
| 37  | 4096       | worker   | 12        | 16  | asc         | 22.8184         | 0.6716        | 29.9814              | 0.988              | 18.9728             | 0.9588            | 131.39133330996   | 83.1469340532202 |
| 17  | 512        | worker   | 12        | 16  | asc         | 3.8514          | 0.1244        | 5.0182               | 0.133              | 4.208               | 0.1752            | 130.295476969414  | 109.258970763878 |
| 29  | 2048       | io_uring | 12        | 16  | desc        | 84.5334         | 1.0424        | 109.9878             | 1.0942             | 19.9256             | 1.3768            | 130.111648176934  | 23.5712747860609 |
| 17  | 64         | worker   | 12        | 16  | desc        | 2.365           | 0.05          | 3.0662               | 0.0628             | 2.9904              | 0.0658            | 129.649048625793  | 126.443974630021 |
| 35  | 128        | worker   | 12        | 16  | asc         | 2.8568          | 0.0638        | 3.701                | 0.0686             | 3.0078              | 0.09              | 129.550546065528  | 105.285634276113 |
| 20  | 512        | worker   | 12        | 16  | desc        | 3.9736          | 0.1572        | 5.1254               | 0.1338             | 4.3582              | 0.1712            | 128.986309643648  | 109.678880612039 |
| 39  | 512        | io_uring | 12        | 16  | asc         | 18.5032         | 0.2848        | 23.8602              | 0.2038             | 13.5054             | 0.3352            | 128.951748886679  | 72.9895369449609 |
| 37  | 1024       | io_uring | 12        | 16  | asc         | 21.038          | 0.3176        | 26.957               | 0.3556             | 11.9146             | 0.4838            | 128.134803688564  | 56.633710428748  |
| 34  | 2          | worker   | 12        | 16  | desc        | 0.4828          | 0.0256        | 0.6182               | 0.0266             | 0.4828              | 0.0232            | 128.04473902237   | 100.0            |
| 34  | 1          | worker   | 12        | 16  | desc        | 0.4524          | 0.0232        | 0.5792               | 0.0234             | 0.474               | 0.025             | 128.028293545535  | 104.774535809019 |
| 38  | 4096       | io_uring | 12        | 16  | asc         | 26.8868         | 0.832         | 34.2878              | 0.8688             | 15.0886             | 0.8766            | 127.526518589047  | 56.1189877560736 |
| 4   | 64         | worker   | 12        | 16  | asc         | 5.063           | 0.0832        | 6.4468               | 0.131              | 6.1954              | 0.1032            | 127.33162156824   | 122.366186055698 |
| 17  | 512        | worker   | 12        | 16  | desc        | 3.748           | 0.126         | 4.7502               | 0.1526             | 5.637               | 0.1954            | 126.739594450374  | 150.400213447172 |
| 27  | 512        | io_uring | 12        | 16  | desc        | 15.414          | 0.2854        | 19.5248              | 0.3628             | 13.1164             | 0.4422            | 126.669261710134  | 85.094070325678  |
| 27  | 256        | worker   | 12        | 16  | asc         | 11.3476         | 0.1658        | 14.3664              | 0.179              | 10.8654             | 0.3004            | 126.60298212838   | 95.750643307836  |
| 30  | 2048       | worker   | 12        | 16  | desc        | 67.9198         | 1.3206        | 85.971               | 1.1508             | 15.995              | 1.5664            | 126.577227848139  | 23.54983377454   |
| 19  | 256        | io_uring | 12        | 16  | desc        | 3.8188          | 0.0838        | 4.8094               | 0.1132             | 4.057               | 0.1436            | 125.940085890856  | 106.237561537656 |
| 31  | 2048       | worker   | 12        | 16  | desc        | 90.016          | 1.2978        | 113.2984             | 1.1108             | 20.7272             | 1.3666            | 125.864735158194  | 23.0261286882332 |
| 23  | 256        | worker   | 12        | 16  | desc        | 4.8344          | 0.0994        | 6.0802               | 0.1604             | 5.1562              | 0.113             | 125.769485354956  | 106.656462022174 |
| 27  | 64         | worker   | 12        | 16  | asc         | 5.167           | 0.079         | 6.4574               | 0.0964             | 5.4492              | 0.1316            | 124.973872653377  | 105.461583123669 |
| 36  | 1024       | worker   | 12        | 16  | desc        | 2.8986          | 0.3266        | 3.6184               | 0.3252             | 4.4006              | 0.3786            | 124.832677844477  | 151.818119091975 |
| 26  | 512        | worker   | 12        | 16  | asc         | 13.3252         | 0.2594        | 16.6084              | 0.2542             | 10.2282             | 0.3094            | 124.639029808183  | 76.7583225767718 |
| 18  | 256        | io_uring | 12        | 16  | asc         | 3.83            | 0.0902        | 4.7484               | 0.1022             | 4.4878              | 0.1392            | 123.97911227154   | 117.174934725849 |
| 32  | 1024       | io_uring | 12        | 16  | desc        | 45.9534         | 0.5768        | 56.952               | 0.7326             | 11.3222             | 0.8328            | 123.934246432255  | 24.6384380698708 |
| 36  | 128        | worker   | 12        | 16  | desc        | 2.3304          | 0.077         | 2.8872               | 0.0792             | 3.0694              | 0.1014            | 123.89289392379   | 131.711294198421 |
| 18  | 64         | io_uring | 12        | 16  | desc        | 2.2036          | 0.0562        | 2.7262               | 0.0496             | 2.402               | 0.0734            | 123.715737883463  | 109.003448901797 |
| 22  | 2048       | io_uring | 12        | 16  | asc         | 5.7214          | 0.3032        | 7.0762               | 0.2782             | 6.1148              | 0.403             | 123.679518998846  | 106.875939455378 |
| 6   | 8          | io_uring | 12        | 16  | asc         | 0.4794          | 0.0328        | 0.5908               | 0.035              | 0.4928              | 0.0312            | 123.237380058406  | 102.795160617438 |
| 42  | 128        | worker   | 12        | 16  | asc         | 0.7318          | 0.0452        | 0.9002               | 0.045              | 0.954               | 0.0566            | 123.011751844766  | 130.36348729161  |
