+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| did | num_values | iomethod | ioworkers | eic | query_order | master_uncached | master_cached | patched_off_uncached | patched_off_cached | patched_on_uncached | patched_on_cached | patched_off_coeff | patched_on_coeff |
| 1   | 256        | worker   | 12        | 16  | asc         | 4.1192          | 1.1038        | 4.0308               | 1.2512             | 5.3228              | 1.1448            | 97.8539522237328  | 129.219265876869 |
| 8   | 4096       | worker   | 12        | 16  | desc        | 8.1478          | 2.1332        | 8.2782               | 2.2016             | 10.5274             | 2.4432            | 101.600432018459  | 129.205429686541 |
| 24  | 4096       | worker   | 12        | 16  | desc        | 8.1674          | 4.0566        | 8.2066               | 4.027              | 10.5396             | 4.0572            | 100.479956901829  | 129.044738839778 |
| 16  | 4096       | worker   | 12        | 16  | desc        | 4.6568          | 1.1324        | 4.773                | 1.3552             | 6.009               | 1.2784            | 102.49527572582   | 129.037107026284 |
| 1   | 1          | worker   | 12        | 16  | asc         | 1.6634          | 0.0704        | 1.7924               | 0.0672             | 2.143               | 0.0844            | 107.755200192377  | 128.832511722977 |
| 10  | 1024       | worker   | 12        | 16  | asc         | 3.8866          | 0.6866        | 4.168                | 0.611              | 4.9896              | 0.6128            | 107.240261411002  | 128.379560541347 |
| 9   | 2          | worker   | 12        | 16  | desc        | 1.0956          | 0.0558        | 1.2342               | 0.0488             | 1.399               | 0.0502            | 112.650602409639  | 127.692588535962 |
| 5   | 8192       | worker   | 12        | 16  | asc         | 11.2552         | 4.0584        | 11.806               | 4.0936             | 14.328              | 4.6354            | 104.893738005544  | 127.301158575592 |
| 28  | 16384      | worker   | 12        | 16  | desc        | 9.2808          | 4.0766        | 10.2532              | 3.9934             | 11.8038             | 4.2234            | 110.477545039221  | 127.18515645203  |
| 11  | 32         | worker   | 12        | 16  | asc         | 2.4808          | 0.0962        | 2.8798               | 0.1038             | 3.1532              | 0.096             | 116.083521444695  | 127.104159948404 |
| 21  | 2048       | worker   | 12        | 16  | asc         | 5.7114          | 1.9498        | 6.0606               | 2.281              | 7.2584              | 2.1308            | 106.114087614245  | 127.086178520153 |
| 1   | 512        | worker   | 12        | 16  | asc         | 5.8232          | 2.1           | 5.5718               | 1.8766             | 7.3816              | 2.1036            | 95.6827860969913  | 126.761917845858 |
| 13  | 16384      | worker   | 12        | 16  | asc         | 9.5874          | 4.055         | 9.7382               | 4.352              | 12.1262             | 4.294             | 101.572897761646  | 126.480589106536 |
| 5   | 1          | io_uring | 12        | 16  | asc         | 0.9088          | 0.0482        | 1.0902               | 0.0416             | 1.1484              | 0.046             | 119.960387323944  | 126.364436619718 |
| 12  | 2          | worker   | 12        | 16  | asc         | 0.9934          | 0.0502        | 1.1826               | 0.05               | 1.2536              | 0.056             | 119.045701630763  | 126.192872961546 |
| 7   | 4096       | worker   | 12        | 16  | desc        | 9.5794          | 2.2692        | 9.4414               | 2.5238             | 12.0838             | 2.494             | 98.5594087312358  | 126.143599807921 |
| 26  | 64         | worker   | 12        | 16  | desc        | 2.8772          | 0.1192        | 2.5786               | 0.1006             | 3.6282              | 0.107             | 89.6218545808425  | 126.10176560545  |
| 15  | 1          | io_uring | 12        | 16  | desc        | 0.816           | 0.0388        | 1.0454               | 0.05               | 1.0286              | 0.043             | 128.112745098039  | 126.053921568627 |
| 8   | 512        | worker   | 12        | 16  | desc        | 4.457           | 0.3974        | 4.8394               | 0.3942             | 5.6152              | 0.373             | 108.579762171864  | 125.986089297734 |
| 25  | 8192       | worker   | 12        | 16  | asc         | 6.4826          | 1.999         | 6.836                | 2.2862             | 8.1612              | 2.3004            | 105.45151636689   | 125.893931447259 |
| 15  | 8192       | worker   | 12        | 16  | desc        | 8.1836          | 2.2504        | 8.0006               | 2.1422             | 10.2726             | 2.4208            | 97.763820323574   | 125.526663082262 |
| 5   | 64         | worker   | 12        | 16  | desc        | 3.8142          | 0.1294        | 4.2042               | 0.1304             | 4.7864              | 0.1308            | 110.224948875256  | 125.488962298778 |
| 16  | 16384      | worker   | 12        | 16  | desc        | 9.9462          | 3.9834        | 9.9408               | 4.6242             | 12.4778             | 4.2298            | 99.945707908548   | 125.452936799984 |
| 21  | 8          | worker   | 12        | 16  | asc         | 2.2814          | 0.0774        | 2.5126               | 0.0832             | 2.8568              | 0.0792            | 110.134128166915  | 125.221355308144 |
| 9   | 4096       | worker   | 12        | 16  | asc         | 5.799           | 2.0888        | 6.0972               | 1.9758             | 7.2286              | 2.5794            | 105.142265907915  | 124.652526297638 |
| 2   | 2          | io_uring | 12        | 16  | desc        | 2.3374          | 0.0834        | 2.276                | 0.097              | 2.9122              | 0.087             | 97.3731496534611  | 124.591426371182 |
| 11  | 4          | worker   | 12        | 16  | asc         | 1.389           | 0.0588        | 1.7084               | 0.0596             | 1.7298              | 0.0558            | 122.994960403168  | 124.535637149028 |
| 11  | 8          | worker   | 12        | 16  | asc         | 1.7846          | 0.062         | 2.3146               | 0.07               | 2.219               | 0.0722            | 129.698531883896  | 124.341589151631 |
| 19  | 4          | worker   | 12        | 16  | asc         | 1.3164          | 0.0668        | 1.4774               | 0.0682             | 1.6326              | 0.0612            | 112.23032512914   | 124.020054694622 |
| 7   | 128        | io_uring | 12        | 16  | desc        | 3.8832          | 0.1574        | 4.696                | 0.1752             | 4.8158              | 0.1982            | 120.931190770499  | 124.016275236918 |
| 23  | 4096       | worker   | 12        | 16  | desc        | 10.7178         | 4.0532        | 11.4818              | 3.8702             | 13.2872             | 4.3662            | 107.128328574894  | 123.973203455933 |
| 11  | 256        | worker   | 12        | 16  | asc         | 3.1636          | 0.203         | 3.459                | 0.2052             | 3.918               | 0.241             | 109.337463649007  | 123.846251106335 |
| 4   | 1024       | worker   | 12        | 16  | desc        | 8.7384          | 4.063         | 9.1332               | 4.0022             | 10.8148             | 3.8484            | 104.517989563307  | 123.761787054838 |
| 8   | 524288     | io_uring | 12        | 16  | desc        | 419.4022        | 326.5606      | 418.9104             | 309.8018           | 519.0044            | 324.0542          | 99.8827378587904  | 123.748611714483 |
| 11  | 2          | worker   | 12        | 16  | asc         | 1.112           | 0.0536        | 1.412                | 0.052              | 1.3744              | 0.0486            | 126.978417266187  | 123.597122302158 |
| 22  | 512        | worker   | 12        | 16  | asc         | 3.661           | 0.6164        | 3.9868               | 0.6622             | 4.5126              | 0.5876            | 108.899207866703  | 123.261403987981 |
| 13  | 8192       | worker   | 12        | 16  | asc         | 6.746           | 2.046         | 6.755                | 2.1536             | 8.3134              | 2.4616            | 100.133412392529  | 123.234509338867 |
| 9   | 8192       | worker   | 12        | 16  | asc         | 8.586           | 4.1062        | 8.8434               | 4.358              | 10.5586             | 4.3892            | 102.997903563941  | 122.974609829956 |
| 12  | 8192       | worker   | 12        | 16  | desc        | 8.5076          | 3.7378        | 8.7372               | 4.1356             | 10.456              | 3.991             | 102.698763458555  | 122.901875969721 |
| 23  | 2048       | worker   | 12        | 16  | desc        | 7.0188          | 1.9096        | 7.1958               | 2.1108             | 8.6234              | 2.1402            | 102.521798598051  | 122.861457799054 |
