+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| did | num_values | iomethod | ioworkers | eic | query_order | master_uncached | master_cached | patched_off_uncached | patched_off_cached | patched_on_uncached | patched_on_cached | patched_off_coeff | patched_on_coeff |
+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| 4   | 8          | worker   | 12        | 16  | asc         | 3.2962          | 0.115         | 3.4208               | 0.1644             | 3.4994              | 0.1124            | 142.95652173913   | 97.7391304347826 |
| 23  | 8          | worker   | 12        | 16  | asc         | 2.2244          | 0.0788        | 2.4182               | 0.1106             | 2.5236              | 0.084             | 140.355329949239  | 106.598984771574 |
| 30  | 64         | io_uring | 12        | 16  | desc        | 33.4944         | 0.7866        | 33.914               | 1.0952             | 15.8734             | 0.8762            | 139.232138316807  | 111.390795830155 |
| 9   | 64         | worker   | 12        | 16  | asc         | 2.6802          | 0.1146        | 2.5804               | 0.1594             | 3.027               | 0.1078            | 139.092495636998  | 94.0663176265271 |
| 5   | 8          | io_uring | 12        | 16  | desc        | 2.687           | 0.064         | 2.315                | 0.089              | 2.2508              | 0.0674            | 139.0625          | 105.3125         |
| 30  | 4          | worker   | 12        | 16  | desc        | 2.969           | 0.1048        | 2.8774               | 0.1454             | 3.0184              | 0.1096            | 138.740458015267  | 104.580152671756 |
| 30  | 128        | io_uring | 12        | 16  | desc        | 64.6666         | 1.2648        | 64.5206              | 1.7418             | 17.9022             | 1.5358            | 137.713472485769  | 121.426312460468 |
| 30  | 256        | io_uring | 12        | 16  | desc        | 126.1834        | 2.3852        | 125.03               | 3.2508             | 20.981              | 2.3822            | 136.290457823243  | 99.8742243836995 |
| 31  | 16         | io_uring | 12        | 16  | desc        | 11.7312         | 0.2684        | 11.728               | 0.3656             | 11.6638             | 0.2806            | 136.214605067064  | 104.545454545455 |
| 23  | 128        | io_uring | 12        | 16  | desc        | 3.0722          | 0.1896        | 3.0742               | 0.2564             | 3.055               | 0.2016            | 135.232067510549  | 106.329113924051 |
| 9   | 1          | worker   | 12        | 16  | desc        | 1.0102          | 0.0438        | 0.9682               | 0.0592             | 0.9354              | 0.0432            | 135.159817351598  | 98.6301369863014 |
| 30  | 8          | worker   | 12        | 16  | desc        | 4.9198          | 0.1674        | 4.9296               | 0.224              | 5.542               | 0.1718            | 133.811230585424  | 102.628434886499 |
| 19  | 256        | worker   | 12        | 16  | desc        | 21.2818         | 0.7634        | 21.9998              | 1.0184             | 7.0394              | 0.8272            | 133.403196227404  | 108.35734870317  |
