+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| did | num_values | iomethod | ioworkers | eic | query_order | master_uncached | master_cached | patched_off_uncached | patched_off_cached | patched_on_uncached | patched_on_cached | patched_off_coeff | patched_on_coeff |
+-----+------------+----------+-----------+-----+-------------+-----------------+---------------+----------------------+--------------------+---------------------+-------------------+-------------------+------------------+
| 13  | 512        | worker   | 12        | 16  | desc        | 40.3596         | 0.3306        | 40.379               | 0.4428             | 12.3408             | 0.7286            | 133.938294010889  | 220.387174833636 |
| 25  | 2048       | worker   | 12        | 16  | desc        | 21.4652         | 0.506         | 21.0422              | 0.5958             | 13.381              | 1.058             | 117.747035573123  | 209.090909090909 |
| 28  | 2048       | io_uring | 12        | 16  | asc         | 21.7362         | 0.5298        | 18.46                | 0.6134             | 11.0302             | 1.0954            | 115.779539448849  | 206.757266893167 |
| 26  | 512        | worker   | 12        | 16  | desc        | 15.063          | 0.2556        | 13.572               | 0.3828             | 12.0628             | 0.5212            | 149.765258215962  | 203.912363067293 |
| 37  | 4096       | io_uring | 12        | 16  | desc        | 35.813          | 0.6222        | 26.9188              | 0.641              | 16.0864             | 1.2686            | 103.021536483446  | 203.889424622308 |
| 46  | 256        | worker   | 12        | 16  | desc        | 5.1962          | 0.1204        | 5.773                | 0.153              | 4.759               | 0.2442            | 127.076411960133  | 202.823920265781 |
| 26  | 256        | worker   | 12        | 16  | asc         | 16.7302         | 0.1756        | 16.3216              | 0.1802             | 9.8864              | 0.354             | 102.619589977221  | 201.594533029613 |
| 46  | 4096       | io_uring | 12        | 16  | desc        | 12.9082         | 0.7452        | 12.9434              | 0.9202             | 11.4984             | 1.49              | 123.483628556092  | 199.946323134729 |
| 46  | 1024       | io_uring | 12        | 16  | asc         | 6.2316          | 0.246         | 7.255                | 0.3884             | 8.0156              | 0.4912            | 157.886178861789  | 199.674796747967 |
| 40  | 4096       | io_uring | 12        | 16  | asc         | 31.2834         | 0.5924        | 30.846               | 0.7072             | 15.321              | 1.1702            | 119.378798109386  | 197.535449020932 |
| 27  | 4096       | worker   | 12        | 16  | desc        | 18.8242         | 0.843         | 19.7336              | 0.829              | 16.7494             | 1.643             | 98.3392645314353  | 194.899169632266 |
| 37  | 1024       | io_uring | 12        | 16  | desc        | 25.2574         | 0.2902        | 23.0678              | 0.338              | 11.841              | 0.5626            | 116.471399035148  | 193.866299104066 |
| 39  | 4096       | io_uring | 12        | 16  | desc        | 26.309          | 0.5782        | 27.1496              | 0.8364             | 20.4742             | 1.1122            | 144.655828433068  | 192.355586302318 |
| 32  | 256        | io_uring | 12        | 16  | desc        | 19.279          | 0.1814        | 19.4838              | 0.254              | 8.0998              | 0.3488            | 140.022050716648  | 192.282249173098 |
| 40  | 4096       | worker   | 12        | 16  | asc         | 29.5424         | 0.5932        | 30.6864              | 0.6072             | 18.753              | 1.1264            | 102.36008091706   | 189.885367498314 |
| 22  | 256        | io_uring | 12        | 16  | asc         | 5.394           | 0.0882        | 5.2214               | 0.12               | 5.1578              | 0.1668            | 136.054421768707  | 189.115646258503 |
