1	5	0.4288	0.0264	-1.0	-1.0	3.0	5.0
2	5	0.4926	0.0218	-1.0	-1.0	5.0	5.0
4	5	0.7062	0.035	-1.0	-1.0	8.8	5.2
8	5	1.2346	0.0366	-1.0	-1.0	16.8	5.2
16	5	2.2528	0.0644	-1.0	-1.0	31.2	6.0
32	5	3.8698	0.0752	-1.0	-1.0	58.0	10.8
64	5	7.396	0.1206	-1.0	-1.0	108.4	23.2
128	5	11.6294	0.1684	-1.0	-1.0	176.2	81.6
256	5	16.5356	0.1994	-1.0	-1.0	285.4	221.6
512	5	15.5638	0.2996	-1.0	-1.0	333.2	679.4
1024	5	18.4848	0.343	-1.0	-1.0	374.4	1642.0
2048	5	18.46	0.6134	-1.0	-1.0	393.6	3628.2
4096	5	21.0386	0.8194	-1.0	-1.0	426.8	7631.4
8192	5	32.9956	2.0762	-1.0	-1.0	590.6	15498.8
16384	5	49.4778	2.8952	-1.0	-1.0	818.8	31322.2
32768	5	81.7454	6.1132	-1.0	-1.0	1316.2	62981.4
65536	5	138.052	13.9816	-1.0	-1.0	2180.6	126409.4
131072	5	266.3402	32.4432	-1.0	-1.0	4094.8	253059.4
262144	5	512.6236	74.1398	-1.0	-1.0	7817.8	506524.4
524288	5	1002.8466	147.3988	-1.0	-1.0	15259.4	1013463.2
1024288	5	1945.614	289.46	-1.0	-1.0	29499.0	1980209.6
1524288	5	2891.7798	430.9284	-1.0	-1.0	43719.6	2946880.8
2024288	5	3834.8858	570.2884	-1.0	-1.0	57953.4	3913583.6
2524288	5	4775.155	711.3222	-1.0	-1.0	72184.4	4880512.4
3024288	5	5721.2198	853.996	-1.0	-1.0	86411.4	5847003.6
3524288	5	6664.456	991.238	-1.0	-1.0	100649.0	6813778.0
4024288	5	7598.4868	1136.0756	-1.0	-1.0	114878.0	7780503.4
4524288	5	8539.7252	1275.092	-1.0	-1.0	129093.0	8747149.4
