1	5	0.4818	0.0232	-1.0	-1.0	4.2	3.0
2	5	0.4838	0.0256	-1.0	-1.0	5.0	3.6
4	5	0.484	0.0272	-1.0	-1.0	4.6	4.0
8	5	0.5788	0.0302	-1.0	-1.0	6.4	6.0
16	5	0.7974	0.044	-1.0	-1.0	9.4	9.6
32	5	1.1194	0.0652	-1.0	-1.0	14.0	14.0
64	5	1.8694	0.1028	-1.0	-1.0	25.0	25.4
128	5	3.4012	0.176	-1.0	-1.0	45.8	58.4
256	5	6.601	0.34	-1.0	-1.0	87.8	103.6
512	5	12.0034	0.676	-1.0	-1.0	172.0	210.0
1024	5	24.4026	1.2062	-1.0	-1.0	339.0	425.8
2048	5	48.0296	2.5406	-1.0	-1.0	675.6	820.8
4096	5	94.2718	4.5978	-1.0	-1.0	1346.0	1668.6
8192	5	188.5898	9.7774	-1.0	-1.0	2688.0	3373.6
16384	5	376.8492	19.666	-1.0	-1.0	5372.4	6777.6
32768	5	751.4002	40.121	-1.0	-1.0	10740.2	13428.6
64018	5	1464.686	77.644	-1.0	-1.0	20979.2	26133.6
95268	5	2182.0478	115.5824	-1.0	-1.0	31217.4	38910.8
126518	5	2894.5412	152.6494	-1.0	-1.0	41456.2	51659.0
157768	5	3610.3422	192.9376	-1.0	-1.0	51694.4	64226.2
189018	5	4327.9374	228.6946	-1.0	-1.0	61933.6	77126.4
220268	5	5039.8318	265.2768	-1.0	-1.0	72171.8	89819.0
251518	5	5747.3392	300.984	-1.0	-1.0	82410.6	102451.0
282768	5	6456.973	340.0822	-1.0	-1.0	92649.0	115094.6
