1	5	0.4664	0.0292	-1.0	-1.0	3.6	4.6
2	5	0.5852	0.0236	-1.0	-1.0	6.6	4.6
4	5	0.8966	0.0336	-1.0	-1.0	11.4	4.6
8	5	1.603	0.0436	-1.0	-1.0	23.8	3.8
16	5	3.0698	0.056	-1.0	-1.0	45.2	3.4
32	5	5.6028	0.098	-1.0	-1.0	86.0	5.6
64	5	10.75	0.1572	-1.0	-1.0	166.4	6.0
128	5	20.8374	0.3138	-1.0	-1.0	329.0	10.4
256	5	38.0418	0.447	-1.0	-1.0	648.2	30.2
512	5	66.6528	0.7942	-1.0	-1.0	1241.6	88.8
1024	5	101.381	1.3472	-1.0	-1.0	2356.2	322.0
2048	5	131.2326	2.27	-1.0	-1.0	4146.0	1198.4
4096	5	153.0028	4.129	-1.0	-1.0	6895.8	3773.2
8192	5	169.8838	9.1376	-1.0	-1.0	10395.4	10923.2
16384	5	202.0544	14.9428	-1.0	-1.0	14044.0	28547.4
32768	5	235.877	29.2942	-1.0	-1.0	16395.2	68739.4
65536	5	307.9476	53.3978	-1.0	-1.0	19884.0	150453.6
131072	5	441.1292	105.161	-1.0	-1.0	25918.6	315064.8
262144	5	759.3334	215.1264	-1.0	-1.0	40414.2	641866.6
512144	5	1308.8648	421.7202	-1.0	-1.0	64780.4	1267915.0
762144	5	1876.5472	626.0082	-1.0	-1.0	89923.0	1893217.2
1012144	5	2456.8984	833.4818	-1.0	-1.0	115554.0	2518255.0
1262144	5	3017.6214	1035.73	-1.0	-1.0	140296.2	3143856.2
1512144	5	3606.1856	1242.5184	-1.0	-1.0	166033.0	3768252.0
1762144	5	4166.8458	1449.1582	-1.0	-1.0	191771.0	4391987.4
2012144	5	4727.3438	1647.4162	-1.0	-1.0	216760.2	5017471.6
2262144	5	5310.7342	1860.3472	-1.0	-1.0	242457.8	5642260.4
