1	5	0.996	0.0462	-1.0	-1.0	2.8	5.0
2	5	1.197	0.047	-1.0	-1.0	4.4	5.2
4	5	1.5914	0.051	-1.0	-1.0	8.2	5.4
8	5	2.687	0.064	-1.0	-1.0	14.8	6.6
16	5	2.9832	0.0808	-1.0	-1.0	23.0	14.8
32	5	3.8066	0.0986	-1.0	-1.0	30.6	37.8
64	5	4.2704	0.1234	-1.0	-1.0	36.2	94.8
128	5	4.4182	0.1676	-1.0	-1.0	41.0	215.4
256	5	4.954	0.2226	-1.0	-1.0	45.4	460.6
512	5	5.9198	0.3456	-1.0	-1.0	54.4	951.0
1024	5	7.7458	0.62	-1.0	-1.0	73.8	1928.6
2048	5	11.8232	1.1228	-1.0	-1.0	109.6	3895.6
4096	5	19.5476	2.1212	-1.0	-1.0	185.4	7807.4
8192	5	35.4202	4.4182	-1.0	-1.0	332.8	15645.2
16384	5	66.3164	8.5348	-1.0	-1.0	628.8	31332.6
32768	5	128.2808	15.4446	-1.0	-1.0	1221.0	62733.0
65536	5	250.3146	33.739	-1.0	-1.0	2405.4	125537.0
131072	5	500.5694	78.6404	-1.0	-1.0	4777.0	251161.4
262144	5	993.6006	155.4318	-1.0	-1.0	9520.0	502552.2
524288	5	1976.5782	325.7564	-1.0	-1.0	19004.2	1005459.0
1024288	5	3856.7598	603.4096	-1.0	-1.0	37092.4	1964387.2
1524288	5	5715.4022	950.661	-1.0	-1.0	55180.4	2923281.4
2024288	5	7637.8974	1228.1978	-1.0	-1.0	73268.2	3882296.6
2524288	5	9471.5056	1436.722	-1.0	-1.0	91355.8	4841376.4
3024288	5	11392.9074	1931.587	-1.0	-1.0	109444.4	5800142.4
3524288	5	13285.8824	1997.3218	-1.0	-1.0	127533.0	6758994.0
4024288	5	15132.9602	2395.7436	-1.0	-1.0	145621.0	7718118.0
4524288	5	16995.4672	2546.0134	-1.0	-1.0	163708.4	8676736.2
