1	5	1.0386	0.0502	-1.0	-1.0	3.0	5.0
2	5	1.1976	0.0544	-1.0	-1.0	5.0	5.0
4	5	1.587	0.0578	-1.0	-1.0	7.4	6.4
8	5	2.2986	0.0832	-1.0	-1.0	13.8	8.0
16	5	3.1824	0.086	-1.0	-1.0	23.8	13.4
32	5	3.7436	0.1236	-1.0	-1.0	30.2	37.6
64	5	4.0726	0.1292	-1.0	-1.0	38.0	93.0
128	5	4.283	0.194	-1.0	-1.0	40.8	217.6
256	5	4.6918	0.2538	-1.0	-1.0	45.0	457.0
512	5	4.5534	0.3602	-1.0	-1.0	54.2	948.0
1024	5	5.3826	0.6284	-1.0	-1.0	72.8	1930.8
2048	5	6.526	1.1	-1.0	-1.0	110.4	3880.2
4096	5	9.4414	2.5238	-1.0	-1.0	184.4	7813.6
8192	5	16.0596	4.1162	-1.0	-1.0	332.6	15666.6
16384	5	25.844	7.9508	-1.0	-1.0	628.6	31350.6
32768	5	45.7426	16.807	-1.0	-1.0	1222.4	62751.0
65536	5	87.085	34.912	-1.0	-1.0	2406.6	125591.4
131072	5	172.4404	75.9394	-1.0	-1.0	4777.0	251296.4
262144	5	336.0518	155.5038	-1.0	-1.0	9519.4	502687.0
524288	5	668.9544	329.1324	-1.0	-1.0	19002.4	1005391.8
1024288	5	1282.1724	634.9998	-1.0	-1.0	37089.8	1964316.6
1524288	5	1923.657	872.4672	-1.0	-1.0	55177.4	2923338.6
2024288	5	2568.1078	1253.5182	-1.0	-1.0	73266.0	3882421.2
2524288	5	3200.4326	1669.7388	-1.0	-1.0	91354.8	4841527.4
3024288	5	3803.1558	1825.3916	-1.0	-1.0	109443.4	5800500.2
3524288	5	4429.6864	2105.9444	-1.0	-1.0	127530.6	6759559.0
4024288	5	5093.3054	2476.2278	-1.0	-1.0	145619.2	7718376.0
4524288	5	5644.5238	2595.1162	-1.0	-1.0	163707.2	8677141.2
