1	5	1.7896	0.076	-1.0	-1.0	13.8	3.4
2	5	2.0854	0.0768	-1.0	-1.0	20.4	9.2
4	5	2.6492	0.1024	-1.0	-1.0	25.8	27.4
8	5	2.6894	0.1236	-1.0	-1.0	28.0	74.6
16	5	2.677	0.1528	-1.0	-1.0	30.2	169.8
32	5	2.954	0.2054	-1.0	-1.0	33.8	356.2
64	5	3.0016	0.3144	-1.0	-1.0	41.2	734.0
128	5	3.4984	0.5642	-1.0	-1.0	56.0	1480.2
256	5	4.2202	1.1026	-1.0	-1.0	86.2	3001.8
512	5	5.733	1.9434	-1.0	-1.0	145.0	5992.4
1024	5	8.0456	3.7384	-1.0	-1.0	263.8	11973.0
2048	5	14.3618	7.8116	-1.0	-1.0	502.0	24095.4
4096	5	25.7878	14.0314	-1.0	-1.0	976.6	48109.2
8192	5	47.8962	29.0814	-1.0	-1.0	1927.2	96316.6
16384	5	92.2312	64.3332	-1.0	-1.0	3825.8	192609.4
32768	5	181.2552	140.6508	-1.0	-1.0	7627.0	385522.2
65536	5	357.22	281.401	-1.0	-1.0	15227.4	770743.6
128036	5	687.8384	563.824	-1.0	-1.0	29724.8	1505670.6
190536	5	1025.0836	813.3524	-1.0	-1.0	44221.6	2240476.4
253036	5	1361.3384	1209.3578	-1.0	-1.0	58719.0	2975357.6
315536	5	1682.1874	1436.7004	-1.0	-1.0	73215.6	3710708.2
378036	5	2049.5248	1796.9028	-1.0	-1.0	87712.0	4445456.8
440536	5	2333.9474	2019.1886	-1.0	-1.0	102209.8	5180815.0
503036	5	2691.2546	1993.3408	-1.0	-1.0	116706.0	5915905.8
565536	5	3043.7416	2566.7148	-1.0	-1.0	131203.2	6651285.2
