1	5	2.1182	0.07	-1.0	-1.0	13.2	3.4
2	5	2.84	0.0982	-1.0	-1.0	21.0	8.8
4	5	3.0988	0.1088	-1.0	-1.0	25.2	28.8
8	5	3.5978	0.1288	-0.3142	-1.0	29.0	73.6
16	5	3.4522	0.1492	0.2	-1.0	30.0	165.0
32	5	3.6728	0.212	37.6134	-1.0	33.2	357.6
64	5	4.7502	0.3738	2.05	-1.0	41.0	737.4
128	5	6.5926	0.58	2.0276	-1.0	55.6	1485.6
256	5	9.212	1.0752	52.5324	-1.0	85.6	2998.0
512	5	16.081	2.164	-1.0	-1.0	145.0	6000.0
1024	5	29.3234	3.956	-1.0	-1.0	264.0	11993.8
2048	5	54.0058	7.4852	-1.0	-1.0	502.0	24051.2
4096	5	104.6068	14.4226	-1.0	-1.0	976.8	48129.6
8192	5	203.6952	33.438	-1.0	-1.0	1926.6	96315.8
16384	5	405.4264	63.9026	-1.0	-1.0	3827.4	192685.4
32768	5	797.7002	153.8688	-1.0	-1.0	7627.2	385394.2
65536	5	1609.4748	304.478	-1.0	-1.0	15227.0	770744.6
128036	5	3118.2454	572.5736	-1.0	-1.0	29724.2	1505655.8
190536	5	3767.999	838.7062	104.9524	-1.0	44222.2	2240534.0
253036	5	6147.3044	1195.1118	-1.0	-1.0	58718.4	2975246.2
315536	5	6911.8906	1337.2198	51.977	-1.0	73215.0	3710741.4
378036	5	8398.5506	1599.3428	51.974	-1.0	87712.2	4445550.0
440536	5	10703.2758	1864.3822	-1.0	-1.0	102209.2	5180785.4
503036	5	12247.528	2181.9422	-1.0	-1.0	116706.0	5916050.2
565536	5	13736.9528	2396.5962	-1.0	-1.0	131203.4	6651281.0
